close,volume,open,high,low
212.46,22267819,213.3,214.435,210.75
212.46,22267820,213.19,214.435,210.75
212.64,21564750,212.99,213.65,211.6032
210.36,26919530,210.88,213.35,210.32
210.35,24431920,210.62,212.7307,210.025
206.5,28813620,204.28,207.16,203.84
201.74,27883360,203.46,205.14,199.67
202.75,36547440,203.16,206.44,202.5869
208.97,47539790,201.02,212.14,200.83
200.48,22481890,199.62,202.0516,199.15
200.99,24619750,201.3,202.76,199.29
203.43,27009520,200.2,203.53,199.39
199.04,33364400,195.41,199.56,193.82
197,35824790,196.31,198.067,194.04
193.34,52392970,197.99,198.649,192.58
204.02,40862120,205.53,206.43,201.63
208.43,54017920,213.9,218.03,206.7435
213.04,69281360,216.42,221.37,211.3
208.78,33935720,208.76,210.16,207.31
209.68,21673390,208.46,210.64,208.44
207.74,17618870,207.48,209.73,207.14
207.02,13909560,208.89,209.24,206.73
208.67,14991570,207.67,209.15,207.17
208.84,18355210,208.46,208.91,207.29
207.22,22277930,203.65,207.23,203.61
202.59,20929310,205.79,206.5,202.36
205.66,18582160,204,205.88,203.7
203.35,14107450,204.05,205.0915,203.27
204.5,16866820,204.59,206.11,203.5
205.21,16947420,204.09,205.87,204
203.3,17595210,202.45,204,202.2
201.75,20191840,203.31,204.39,201.71
203.23,17897140,201.85,203.73,201.56
201.24,20578020,199.2,201.51,198.81
200.02,25338630,200.81,201.4,198.41
204.23,17265520,203.35,205.08,202.9
204.41,11362050,203.28,204.44,202.6901
202.73,16935220,201.41,203.1323,201.36
201.55,27316740,203.17,204.49,200.65
197.92,31110640,198.68,199.495,197.05
199.74,20899720,200.29,201.57,199.57
199.8,26067510,197.77,200.99,197.35
195.57,21070330,198.43,199.26,195.29
198.58,18220420,198.54,200.16,198.17
198.78,47800590,198.8,200.85,198.15
199.46,21513990,200.37,200.61,198.03
197.87,21124240,199.68,199.88,197.31
198.45,26551000,196.05,200.29,195.21
193.89,14669140,192.9,194.96,192.17
192.74,18761470,191.545,193.5863,190.3
194.15,21674630,194.7,196.79,193.6
194.19,18253190,193.95,195.97,193.385
194.81,26932880,194.86,196,193.6
192.58,26220850,191.81,195.37,191.62
190.15,30684390,186.51,191.92,185.77
185.22,22526310,183.08,185.47,182.1489
182.54,29773430,184.28,184.99,181.14
179.64,30967960,175.44,179.83,174.52
173.3,40396070,175.6,177.92,170.27
175.07,27043580,176.23,177.99,174.99
